LocCode,Year,Annual_Discharge_cfs,Name
1,1991,"2,095",Smith River and tributaries
1,1992,"1,644",Smith River and tributaries
1,1993,"4,243",Smith River and tributaries
1,1994,"1,724",Smith River and tributaries
1,1995,"4,669",Smith River and tributaries
1,1996,"5,008",Smith River and tributaries
1,1997,"4,942",Smith River and tributaries
1,1998,"4,439",Smith River and tributaries
1,1999,"4,922",Smith River and tributaries
1,2000,"3,323",Smith River and tributaries
1,2001,"1,246",Smith River and tributaries
1,2002,"3,320",Smith River and tributaries
1,2003,"3,794",Smith River and tributaries
1,2004,"3,241",Smith River and tributaries
1,2005,"3,042",Smith River and tributaries
1,2006,"5,301",Smith River and tributaries
1,2007,"3,633",Smith River and tributaries
1,2008,"3,301",Smith River and tributaries
1,2009,"3,279",Smith River and tributaries
1,2010,"3,767",Smith River and tributaries
1,2011,"4,399",Smith River and tributaries
1,2012,"3,955",Smith River and tributaries
1,2013,"3,074",Smith River and tributaries
1,2014,"2,396",Smith River and tributaries
1,2015,"2,734",Smith River and tributaries
1,2016,"4,262",Smith River and tributaries
1,2017,"6,278",Smith River and tributaries
1,2018,"2,917",Smith River and tributaries
1,2019,"3,399",Smith River and tributaries
1,2020,"2,137",Smith River and tributaries
1,2021,"2,483",Smith River and tributaries
1,2022,"2,801",Smith River and tributaries
1,2023,"3,278",Smith River and tributaries
2,1991,"3,432",Klamath River and tributaries
2,1992,"2,918",Klamath River and tributaries
2,1993,"9,003",Klamath River and tributaries
2,1994,"3,186",Klamath River and tributaries
2,1995,"10,760",Klamath River and tributaries
2,1996,"11,610",Klamath River and tributaries
2,1997,"12,780",Klamath River and tributaries
2,1998,"12,590",Klamath River and tributaries
2,1999,"11,990",Klamath River and tributaries
2,2000,"7,625",Klamath River and tributaries
2,2001,"2,875",Klamath River and tributaries
2,2002,"6,206",Klamath River and tributaries
2,2003,"8,684",Klamath River and tributaries
2,2004,"6,922",Klamath River and tributaries
2,2005,"5,987",Klamath River and tributaries
2,2006,"14,160",Klamath River and tributaries
2,2007,"6,749",Klamath River and tributaries
2,2008,"6,631",Klamath River and tributaries
2,2009,"4,952",Klamath River and tributaries
2,2010,"6,416",Klamath River and tributaries
2,2011,"9,603",Klamath River and tributaries
2,2012,"7,108",Klamath River and tributaries
2,2013,"5,301",Klamath River and tributaries
2,2014,"3,600",Klamath River and tributaries
2,2015,"4,926",Klamath River and tributaries
2,2016,"8,650",Klamath River and tributaries
2,2017,"14,140",Klamath River and tributaries
2,2018,"4,972",Klamath River and tributaries
2,2019,"7,219",Klamath River and tributaries
2,2020,"3,770",Klamath River and tributaries
2,2021,"3,854",Klamath River and tributaries
2,2022,"4,278",Klamath River and tributaries
2,2023,"7,228",Klamath River and tributaries
3,1991,838.7,Trinity River and tributaries
3,1992,"1,110",Trinity River and tributaries
3,1993,"1,872",Trinity River and tributaries
3,1994,927.3,Trinity River and tributaries
3,1995,"3,242",Trinity River and tributaries
3,1996,"2,264",Trinity River and tributaries
3,1997,"2,785",Trinity River and tributaries
3,1998,"3,880",Trinity River and tributaries
3,1999,"2,089",Trinity River and tributaries
3,2000,"1,989",Trinity River and tributaries
3,2001,"1,021",Trinity River and tributaries
3,2002,"1,778",Trinity River and tributaries
3,2003,"2,259",Trinity River and tributaries
3,2004,"2,259",Trinity River and tributaries
3,2005,"1,941",Trinity River and tributaries
3,2006,"3,877",Trinity River and tributaries
3,2007,"1,270",Trinity River and tributaries
3,2008,"1,733",Trinity River and tributaries
